City,Year,Domestic_Consumption,Industrial_Consumption,Commercial_Consumption,Total_Consumption
Ahmedabad,2018,728,1485,743,2956
Allahabad,2019,937,4824,535,6296
Bhopal,2018,2662,3889,1035,7586
Ghaziabad,2019,2721,1803,1771,6295
Jabalpur,2017,1207,1113,1931,4251
Bangalore,2017,1190,1163,849,3202
Raipur,2018,1486,3792,1408,6686
Thane,2017,1198,1949,1854,5001
Jabalpur,2019,2039,4433,1692,8164
Varanasi,2018,989,3072,732,4793
Kanpur,2019,1508,3356,1576,6440
Mumbai,2017,1725,2779,976,5480
Pune,2018,1085,4556,1925,7566
Patna,2019,2449,1268,1128,4845
Madurai,2018,1042,3605,1989,6636
Vadodara,2017,2547,1944,1417,5908
Navi Mumbai,2018,831,3931,732,5494
Howrah,2017,1219,3286,629,5134
Visakhapatnam,2017,2700,2056,395,5151
Guwahati,2019,676,1556,1496,3728
Gwalior,2017,1036,1273,903,3212
Vijayawada,2018,2268,4502,1615,8385
Nagpur,2017,2480,4348,564,7392
Indore,2017,597,3717,1989,6303
Srinagar,2019,2603,2498,1329,6430
Ludhiana,2018,655,1865,1717,4237
Indore,2019,1325,1681,973,3979
Lucknow,2018,2551,4518,452,7521
Vadodara,2019,2368,1055,941,4364
Varanasi,2018,1024,1415,482,2921
Faridabad,2017,2649,1916,1874,6439
Guwahati,2017,1756,4966,715,7437
Mumbai,2019,949,3632,1172,5753
Allahabad,2017,2669,1454,598,4721
Solapur,2019,2801,4418,990,8209
Agra,2018,2415,3052,1454,6921
Jodhpur,2018,820,2346,1058,4224
Navi Mumbai,2018,1133,3305,680,5118
Allahabad,2018,1983,820,807,3610
Pune,2019,2224,4824,941,7989
Varanasi,2017,515,3733,486,4734
Guwahati,2017,2822,3757,967,7546
Vadodara,2017,1901,1836,587,4324
Agra,2017,2394,4145,1550,8089
Delhi,2017,1311,2986,1578,5875
Rajkot,2017,700,2870,1849,5419
Lucknow,2018,2512,4444,1748,8704
Agra,2017,1328,1790,1787,4905
Ahmedabad,2019,2182,3814,1970,7966
Jodhpur,2017,2966,940,1430,5336
Gwalior,2017,1209,4126,1735,7070
Hyderabad,2018,1325,1134,1922,4381
Faridabad,2018,861,3986,1379,6226
Gwalior,2019,2701,885,734,4320
Aurangabad,2018,2886,3350,1172,7408
Nagpur,2017,1016,2889,1257,5162
Solapur,2019,2506,1422,588,4516
Bangalore,2018,2928,2149,971,6048
Bangalore,2017,1987,2333,834,5154
Dhanbad,2018,2833,1089,1050,4972
Jodhpur,2017,1711,3559,804,6074
Howrah,2017,2442,2052,1386,5880
Raipur,2018,731,2712,1231,4674
Srinagar,2017,2374,3307,1964,7645
Chennai,2018,844,4014,866,5724
Raipur,2018,2044,3661,1913,7618
Nagpur,2019,2058,3207,1923,7188
Agra,2017,1866,806,525,3197
Allahabad,2018,552,3757,1643,5952
Hyderabad,2017,2669,2542,1275,6486
Agra,2019,559,1074,529,2162
Vasai,2017,1320,1291,392,3003
Jodhpur,2018,1247,3347,1201,5795
Ludhiana,2017,2482,4983,661,8126
Vasai,2018,692,2261,1538,4491
Kanpur,2018,2556,3073,863,6492
Aurangabad,2017,2130,4724,1970,8824
Chennai,2018,943,2292,1801,5036
Visakhapatnam,2018,2844,2934,1840,7618
Kanpur,2018,1884,4627,336,6847
Gwalior,2019,1050,2722,937,4709
Agra,2017,1354,2555,1465,5374
Chennai,2017,1229,2524,1971,5724
Aurangabad,2018,1260,3233,1257,5750
Navi Mumbai,2017,2187,2601,317,5105
Allahabad,2019,1961,2053,1650,5664
Srinagar,2017,1784,2617,1382,5783
Chennai,2017,1771,1144,1263,4178
Vadodara,2018,1885,3828,1554,7267
Dhanbad,2017,769,1642,1971,4382
Lucknow,2019,2033,3783,1854,7670
Ranchi,2017,1989,3762,449,6200
Gwalior,2017,2656,4126,1831,8613
Bhopal,2017,1668,4515,1205,7388
Varanasi,2019,1504,1256,928,3688
Nashik,2017,1143,1603,1815,4561
Chennai,2017,1538,3494,377,5409
Lucknow,2019,539,1803,564,2906
Vasai,2017,1872,4741,691,7304
Dhanbad,2018,1280,1147,671,3098
Vijayawada,2018,2432,2373,1170,5975
Nashik,2018,1672,2950,1524,6146
Ahmedabad,2019,2806,3271,1646,7723
Hubli,2017,647,1930,1634,4211
Aurangabad,2017,2990,1076,803,4869
Gwalior,2017,1234,2242,1592,5068
Jabalpur,2019,886,3679,978,5543
Bangalore,2017,993,900,1879,3772
Howrah,2018,2613,882,1926,5421
Delhi,2019,597,1879,1303,3779
Dhanbad,2017,2175,4242,1276,7693
Dhanbad,2018,2181,2827,1542,6550
Thane,2018,1382,3795,1769,6946
Rajkot,2019,2033,4724,820,7577
Chandigarh,2019,2904,3420,952,7276
Kolkata,2018,1063,1095,499,2657
Nashik,2018,2825,1148,1497,5470
Mumbai,2018,2688,2260,589,5537
Visakhapatnam,2017,2242,2841,337,5420
Meerut,2018,589,1958,793,3340
Jodhpur,2019,1639,2563,1135,5337
Vadodara,2019,1952,968,439,3359
Vadodara,2018,2506,1027,684,4217
Madurai,2018,2446,3786,467,6699
Coimbatore,2018,1202,2790,741,4733
Jabalpur,2018,554,4617,1013,6184
Delhi,2019,1005,3936,1023,5964
Kota,2018,2698,1954,1994,6646
Howrah,2019,2202,3753,1248,7203
Kalyan,2019,1396,2018,855,4269
Delhi,2018,1371,4997,1925,8293
Ludhiana,2018,2122,1440,842,4404
Vasai,2019,1977,2520,1260,5757
Agra,2019,1275,1469,1228,3972
Hyderabad,2019,2880,1656,1317,5853
Bhopal,2019,1279,3526,1340,6145
Dhanbad,2018,983,3361,1185,5529
Amritsar,2018,1214,929,1301,3444
Indore,2019,2052,4809,793,7654
Raipur,2017,894,1806,383,3083
Vijayawada,2018,2665,2530,317,5512
Patna,2017,580,4814,685,6079
Dhanbad,2019,1241,914,1687,3842
Madurai,2018,2340,3840,502,6682
Kolkata,2017,1993,2073,1449,5515
Navi Mumbai,2019,1639,3554,1236,6429
Hubli,2017,2760,2338,758,5856
Mumbai,2018,1849,1003,1610,4462
Kalyan,2017,1148,2434,723,4305
Meerut,2019,2251,1501,1713,5465
Indore,2019,2924,2759,912,6595
Chandigarh,2017,2757,2573,387,5717
Lucknow,2017,2945,3931,1790,8666
Meerut,2017,1502,4326,1431,7259
Madurai,2017,1735,2207,1745,5687
Madurai,2019,2960,1979,1852,6791
Vasai,2017,2311,4650,826,7787
Guwahati,2018,2910,2609,604,6123
Hubli,2018,2691,1019,1261,4971
Mumbai,2019,1021,2575,302,3898
Jabalpur,2017,1517,1976,1648,5141
Allahabad,2019,1566,3312,1078,5956
Hubli,2019,2030,4442,1648,8120
Patna,2019,2999,2937,1023,6959
Hubli,2017,2754,4235,1684,8673
Nagpur,2017,2846,4826,1533,9205
Vijayawada,2019,2140,3381,311,5832
Indore,2018,1541,1985,450,3976
Ghaziabad,2018,1164,2844,888,4896
Coimbatore,2018,2222,975,1272,4469
Kanpur,2019,1171,3042,733,4946
Ludhiana,2018,2096,3968,1377,7441
Vijayawada,2019,1113,829,1805,3747
Chennai,2017,2242,2285,1724,6251
Ranchi,2019,1736,4551,1799,8086
Srinagar,2019,1861,4062,358,6281
Kota,2017,2340,809,685,3834
Faridabad,2018,557,3866,1486,5909
Gwalior,2019,1707,4779,1970,8456
Meerut,2018,550,958,618,2126
Chennai,2017,1696,4779,1042,7517
Guwahati,2018,1154,3036,1011,5201
Howrah,2019,1801,1583,1883,5267
Ranchi,2019,2736,2737,1662,7135
Allahabad,2019,1634,1629,459,3722
Amritsar,2019,2097,1422,448,3967
Ahmedabad,2019,2022,4493,352,6867
Chandigarh,2018,817,2990,574,4381
Meerut,2019,1245,4876,1724,7845
Navi Mumbai,2019,2887,4683,769,8339
Faridabad,2017,2572,868,756,4196
Ahmedabad,2018,1866,4249,1725,7840
Bangalore,2018,1028,2390,1518,4936
Agra,2018,943,3942,1501,6386
Vijayawada,2019,2205,2455,1114,5774
Solapur,2018,1543,1059,1358,3960
Jodhpur,2018,1009,1371,1081,3461
Thane,2017,2561,2670,378,5609
Vasai,2018,1780,1768,386,3934
Agra,2017,556,2571,1567,4694
Kalyan,2018,2983,1927,1400,6310
Delhi,2018,2205,1593,1388,5186
Solapur,2017,606,2409,1012,4027
Amritsar,2017,2615,2796,483,5894
Vijayawada,2017,2744,3731,375,6850
Indore,2017,788,2982,1409,5179
Mumbai,2018,2514,2731,1845,7090
Howrah,2019,990,2807,1215,5012
Chandigarh,2018,2243,2810,1074,6127
Jodhpur,2019,1630,3676,1209,6515
Ghaziabad,2019,701,4126,1228,6055
Hubli,2017,2595,2125,739,5459
Ranchi,2018,1917,1399,1798,5114
Jaipur,2018,1516,4939,1530,7985
Chennai,2017,931,3740,1364,6035
Ranchi,2019,2456,4913,1418,8787
Guwahati,2017,1728,828,1928,4484
Varanasi,2018,2622,4764,1321,8707
Kalyan,2019,683,1786,466,2935
Lucknow,2018,1270,3162,471,4903
Rajkot,2017,659,4983,1714,7356
Ranchi,2019,2326,4224,1124,7674
Patna,2017,2072,3865,551,6488
Dhanbad,2017,796,1756,1822,4374
Hyderabad,2019,1937,1871,713,4521
Indore,2018,2441,2681,1633,6755
Rajkot,2018,2284,2324,1806,6414
Jodhpur,2018,1295,1004,926,3225
Agra,2018,2370,1253,785,4408
Agra,2019,1999,3414,1314,6727
Ludhiana,2017,1377,3037,1368,5782
Varanasi,2017,2476,4955,1604,9035
Navi Mumbai,2017,1939,2175,1462,5576
Kanpur,2019,1615,4703,1780,8098
Chennai,2017,1126,4823,1404,7353
Madurai,2018,2209,3579,826,6614
Lucknow,2017,918,3802,374,5094
Vadodara,2018,1511,2741,1814,6066
Rajkot,2017,2773,3511,1435,7719
Pune,2019,2922,3556,439,6917
Jaipur,2017,2469,860,1198,4527
Delhi,2019,1209,3710,1774,6693
Jabalpur,2018,2397,3000,947,6344
Delhi,2017,1268,937,1058,3263
Ahmedabad,2018,1907,1562,387,3856
Dhanbad,2018,1243,834,728,2805
Madurai,2018,1247,1729,1665,4641
Kolkata,2019,2162,4679,1842,8683
Ludhiana,2018,2724,1036,1877,5637
Ghaziabad,2018,1699,4053,600,6352
Raipur,2019,2893,4108,1558,8559
Thane,2017,696,1502,442,2640
Ahmedabad,2017,2383,1616,1865,5864
Bhopal,2018,1598,1575,450,3623
Navi Mumbai,2017,1002,3748,1743,6493
Jaipur,2017,887,4060,519,5466
Mumbai,2017,919,3458,478,4855
Nagpur,2017,2656,3058,1955,7669
Vadodara,2019,1983,4149,1112,7244
Jabalpur,2017,911,3832,1500,6243
Kanpur,2017,2672,1392,1893,5957
Kalyan,2019,1842,3253,738,5833
Howrah,2019,595,3770,550,4915
Madurai,2017,2976,3297,1144,7417
Pune,2018,2555,1231,504,4290
Meerut,2017,1951,4119,1823,7893
Amritsar,2019,2950,1723,568,5241
Bangalore,2019,1461,3798,1496,6755
Raipur,2019,2372,4997,884,8253
Raipur,2018,2579,868,1778,5225
Hubli,2017,1687,1940,552,4179
Hyderabad,2018,1874,878,930,3682
Chennai,2017,512,3370,1978,5860
Madurai,2019,1427,919,563,2909
Dhanbad,2017,2196,1705,330,4231
Kanpur,2018,1557,3857,641,6055
Agra,2017,812,1155,1479,3446
Ahmedabad,2017,2398,4648,1124,8170
Hyderabad,2019,885,2274,1006,4165
Hyderabad,2017,2096,4254,1944,8294
Indore,2018,700,3621,1368,5689
Agra,2019,1320,2674,462,4456
Coimbatore,2018,2651,2692,1317,6660
Delhi,2019,2114,2429,1864,6407
Kolkata,2019,2170,4875,1934,8979
Gwalior,2017,2893,2287,720,5900
Vasai,2017,2109,2196,1730,6035
Guwahati,2018,959,3585,1026,5570
Thane,2018,1438,4152,1819,7409
Coimbatore,2017,729,3998,540,5267
Vijayawada,2017,1896,1107,1941,4944
Raipur,2017,792,1641,1667,4100
Coimbatore,2017,2169,3693,998,6860
Kota,2017,555,4498,978,6031
Varanasi,2018,2077,2419,664,5160
Srinagar,2018,891,3678,1194,5763
Ludhiana,2017,2475,1481,855,4811
Hubli,2019,1927,1406,1767,5100
Visakhapatnam,2018,2735,2220,1317,6272
Nagpur,2017,2859,2275,1850,6984
Chennai,2019,2561,1873,634,5068
Raipur,2018,2781,4641,1903,9325
Allahabad,2018,671,3638,1920,6229
Bhopal,2019,1603,1227,770,3600
Ghaziabad,2017,715,1269,1767,3751
Nagpur,2019,776,1350,1225,3351
Rajkot,2018,2493,879,1808,5180
Chandigarh,2018,1550,2629,960,5139
Jabalpur,2018,1079,4569,1758,7406
Kolkata,2017,911,2157,1439,4507
Vijayawada,2018,1660,4409,403,6472
Jodhpur,2017,1465,2962,1677,6104
Vadodara,2017,2060,1881,783,4724
Hubli,2018,2690,3450,978,7118
Varanasi,2017,2469,3885,987,7341
Howrah,2018,2417,2650,1997,7064
Aurangabad,2017,2453,4365,383,7201
Chandigarh,2019,2227,3282,1662,7171
Chandigarh,2017,1909,2498,1611,6018
Jaipur,2017,621,2554,1799,4974
Raipur,2018,1156,2784,1830,5770
Mumbai,2019,678,4753,1041,6472
Hubli,2018,2522,3690,1977,8189
Raipur,2018,2612,4153,327,7092
Bhopal,2017,1711,3019,960,5690
Meerut,2017,2274,3733,904,6911
Vadodara,2019,1597,949,875,3421
Jodhpur,2018,814,3815,410,5039
Pune,2019,2710,2443,1195,6348
Aurangabad,2019,2411,4306,743,7460
Guwahati,2017,1632,4575,826,7033
Vadodara,2019,2221,1960,751,4932
Rajkot,2019,1598,3889,1393,6880
Howrah,2019,1635,1710,1080,4425
Kolkata,2018,1421,4664,1738,7823
Mumbai,2017,2580,3538,1452,7570
Meerut,2018,873,3356,323,4552
Howrah,2017,2586,1826,1380,5792
Agra,2019,2064,4199,476,6739
Ludhiana,2017,2975,2923,1198,7096
Kanpur,2018,1731,1297,1933,4961
Ahmedabad,2017,2161,929,581,3671
Pune,2019,982,3962,1854,6798
Delhi,2019,2935,1651,496,5082
Aurangabad,2019,2504,1027,1201,4732
Jaipur,2019,812,4248,1233,6293
Raipur,2017,2033,2742,1154,5929
Jodhpur,2019,773,1104,1607,3484
Agra,2019,727,3439,1783,5949
Jaipur,2019,2097,3672,1603,7372
Hubli,2017,685,2804,941,4430
Mumbai,2018,1476,937,1462,3875
Jaipur,2018,1003,3736,449,5188
Hubli,2019,1545,2382,1574,5501
Hubli,2018,1021,3809,1829,6659
Kanpur,2017,2625,1540,1508,5673
Kalyan,2017,1319,2265,1203,4787
Coimbatore,2019,2386,2175,1996,6557
Coimbatore,2019,948,3257,1027,5232
Indore,2017,2828,2773,1259,6860
Solapur,2018,1075,2900,1601,5576
Hyderabad,2017,2250,2600,1072,5922
Hyderabad,2017,2609,4986,1983,9578
Srinagar,2019,660,813,1161,2634
Chennai,2018,2065,2617,985,5667
Kolkata,2018,691,3675,1040,5406
Dhanbad,2018,1869,1687,323,3879
Hubli,2018,1317,3115,1134,5566
Vasai,2017,2060,2955,1449,6464
Vijayawada,2017,1705,3045,674,5424
Lucknow,2019,2943,1764,615,5322
Nagpur,2019,1576,1103,1798,4477
Ranchi,2018,797,4417,1197,6411
Vasai,2018,1328,4230,961,6519
Patna,2019,1729,2149,835,4713
Mumbai,2019,1874,2236,1658,5768
Pune,2018,1621,3586,453,5660
Faridabad,2019,582,2985,1838,5405
Meerut,2017,1589,1025,1276,3890
Raipur,2018,2680,1389,1294,5363
Kanpur,2017,1063,2587,931,4581
Rajkot,2019,2615,2835,1434,6884
Ludhiana,2019,1442,3500,1366,6308
Chandigarh,2018,966,3378,1216,5560
Lucknow,2017,2456,1555,746,4757
Vadodara,2019,597,2459,310,3366
Gwalior,2019,2432,3761,1269,7462
Solapur,2019,1648,2950,1081,5679
Mumbai,2019,2669,1301,1497,5467
Visakhapatnam,2017,1424,2763,1196,5383
Madurai,2019,616,1207,1531,3354
Madurai,2017,2066,1295,920,4281
Jaipur,2017,663,1903,1770,4336
Bangalore,2017,813,4399,1893,7105
Aurangabad,2019,2446,1696,336,4478
Navi Mumbai,2019,1107,1710,1107,3924
Jabalpur,2018,555,3337,465,4357
Aurangabad,2017,1409,3649,1469,6527
Dhanbad,2018,1602,3946,1261,6809
Jodhpur,2018,622,1405,1810,3837
Solapur,2019,1054,2589,1732,5375
Gwalior,2018,914,4970,932,6816
Raipur,2018,898,1039,344,2281
Aurangabad,2017,1912,1758,347,4017
Ranchi,2018,2701,4841,1643,9185
Srinagar,2017,2972,1718,456,5146
Thane,2018,2293,4876,769,7938
Srinagar,2019,1319,3338,367,5024
Delhi,2018,2501,2343,1800,6644
Nashik,2019,1495,2508,699,4702
Kolkata,2017,728,2348,462,3538
Kolkata,2017,1413,4469,1075,6957
Delhi,2019,1034,1505,1122,3661
Pune,2018,1260,4919,1594,7773
Vadodara,2019,2594,2174,995,5763
Kalyan,2019,1826,1289,1263,4378
Vijayawada,2018,2287,2394,711,5392
Kota,2019,2511,4936,1668,9115
Bangalore,2018,2862,3231,304,6397
Ahmedabad,2018,650,4870,1600,7120
Chandigarh,2017,1726,4666,1858,8250
Nagpur,2018,999,4965,497,6461
Mumbai,2018,2348,3031,1483,6862
Raipur,2017,1459,2166,1458,5083
Vadodara,2019,667,1410,1423,3500
Vasai,2017,723,1330,743,2796
Bangalore,2018,619,2942,1179,4740
Rajkot,2018,590,1451,1052,3093
Meerut,2017,1098,3464,1840,6402
Kalyan,2018,749,1786,1014,3549
Ahmedabad,2019,1976,2842,1503,6321
Chennai,2017,1008,966,1993,3967
Thane,2017,1263,4847,761,6871
Howrah,2019,532,3707,1707,5946
Rajkot,2017,1848,4979,1265,8092
Ludhiana,2019,669,4522,1650,6841
Thane,2018,2710,2199,1309,6218
Visakhapatnam,2019,2472,1243,1366,5081
Agra,2017,1686,2290,1600,5576
Vasai,2018,1252,2796,1561,5609
Nashik,2019,2267,4472,1790,8529
Guwahati,2019,1386,1707,1150,4243
Chennai,2018,1042,3859,1906,6807
Raipur,2018,507,3165,1202,4874
Mumbai,2019,1098,2075,1218,4391
Kota,2017,612,2613,1318,4543
Jaipur,2018,1906,3769,1427,7102
Indore,2018,2404,3961,493,6858
Amritsar,2017,1458,4592,318,6368
Meerut,2019,987,2619,836,4442
Jodhpur,2019,1870,2109,1189,5168
Kota,2019,1940,3237,933,6110
Ludhiana,2018,1777,4144,1513,7434
Dhanbad,2017,2293,2984,420,5697
Solapur,2019,2235,819,320,3374
Bangalore,2017,2091,2803,892,5786
Meerut,2018,2180,2932,700,5812
Coimbatore,2017,2888,2301,1570,6759
Indore,2017,2201,4029,1549,7779
Solapur,2019,2364,3850,1242,7456
Mumbai,2018,1023,3101,527,4651
Ranchi,2017,1581,2027,380,3988
Patna,2017,636,3597,1318,5551
Aurangabad,2018,604,4596,712,5912
Meerut,2017,2758,4309,1821,8888
Howrah,2017,2396,2596,1262,6254
Ranchi,2018,2397,2227,1195,5819
Faridabad,2019,1606,3392,431,5429
Coimbatore,2018,520,1428,877,2825
Jabalpur,2018,1637,2464,848,4949
Ahmedabad,2019,968,1478,1514,3960
Pune,2017,1200,3945,1907,7052
Patna,2018,1996,2173,1203,5372
Meerut,2018,1419,1961,1122,4502
Jaipur,2019,1586,2439,1184,5209
Navi Mumbai,2019,1517,4643,502,6662
Vadodara,2017,2652,3202,1672,7526
Nashik,2017,1079,4268,1524,6871
Jabalpur,2019,1129,4622,1580,7331
Nashik,2019,2124,1099,334,3557
Lucknow,2018,1951,3597,1759,7307
Ahmedabad,2018,2744,3670,1277,7691
Delhi,2018,1156,4472,1668,7296
Agra,2018,2379,1546,328,4253
Kalyan,2017,1638,2005,1903,5546
Raipur,2017,725,4002,1452,6179
Lucknow,2018,2195,2291,1630,6116
Guwahati,2017,2619,1790,973,5382
Ghaziabad,2019,2804,942,645,4391
Jodhpur,2018,512,4533,766,5811
Vasai,2018,2385,1946,623,4954
Chennai,2017,1052,2958,1574,5584
Jaipur,2017,834,2691,650,4175
Jaipur,2018,1477,2586,978,5041
Ludhiana,2019,2282,3825,457,6564
Lucknow,2018,628,3769,1096,5493
Mumbai,2018,2937,923,1401,5261
Varanasi,2018,2362,1991,1358,5711
Nagpur,2019,2986,3781,585,7352
Jabalpur,2017,1628,1604,686,3918
Jaipur,2019,1085,1983,785,3853
Ludhiana,2018,2569,4386,1622,8577
Ranchi,2019,2974,3573,1499,8046
Nagpur,2019,538,1596,1250,3384
Madurai,2018,2833,3873,1652,8358
Delhi,2019,1378,4162,443,5983
Kolkata,2019,1831,2477,1026,5334
Rajkot,2019,2875,3606,1856,8337
Vasai,2017,1018,3153,1067,5238
Bangalore,2019,2205,1841,1135,5181
Kalyan,2017,2862,3106,1337,7305
Kota,2017,2244,1979,731,4954
Bhopal,2019,1036,3043,1101,5180
Pune,2018,2220,1151,744,4115
Lucknow,2018,1136,998,1211,3345
Bhopal,2018,2862,2254,492,5608
Hubli,2019,1359,853,683,2895
Lucknow,2018,2285,1054,810,4149
Pune,2017,2203,4190,1899,8292
Dhanbad,2017,896,3651,1751,6298
Raipur,2018,652,2202,1032,3886
Rajkot,2017,1027,1373,1122,3522
Faridabad,2018,2730,1699,1456,5885
Mumbai,2019,1776,2561,1723,6060
Hubli,2018,2779,1836,392,5007
Allahabad,2018,2304,3788,1744,7836
Ludhiana,2017,2835,4924,607,8366
Patna,2017,1328,1889,435,3652
Chandigarh,2018,2957,3593,886,7436
Guwahati,2017,635,1702,1089,3426
Jaipur,2018,1026,2320,1055,4401
Hubli,2019,2790,4807,1240,8837
Kalyan,2018,2115,4680,1998,8793
Visakhapatnam,2019,1380,2387,1965,5732
Ludhiana,2017,2624,4678,1399,8701
Raipur,2018,1524,2101,1287,4912
Aurangabad,2019,1899,1577,879,4355
Allahabad,2018,1039,4233,1630,6902
Delhi,2019,774,1983,766,3523
Bangalore,2019,2596,2887,1073,6556
Aurangabad,2019,2339,3884,1842,8065
Kota,2019,1293,3996,822,6111
Kalyan,2017,1440,4061,832,6333
Varanasi,2018,2122,3679,424,6225
Patna,2019,2937,2796,1629,7362
Hyderabad,2017,1856,1022,656,3534
Howrah,2019,976,2600,1561,5137
Mumbai,2017,2162,2569,1171,5902
Vadodara,2017,2763,3868,1931,8562
Jabalpur,2017,830,4910,1212,6952
Vijayawada,2018,824,2835,1027,4686
Delhi,2019,2224,4665,1368,8257
Vadodara,2019,1768,3634,1847,7249
Kanpur,2017,821,1953,1342,4116
Jaipur,2017,2834,1514,1103,5451
Chennai,2019,1563,1253,1045,3861
Lucknow,2018,662,3156,841,4659
Faridabad,2018,1447,4433,927,6807
Hyderabad,2017,1450,3652,864,5966
Pune,2018,1847,3922,904,6673
Jodhpur,2019,1517,1477,351,3345
Ghaziabad,2018,1501,3668,853,6022
Rajkot,2017,2582,4615,991,8188
Meerut,2017,2186,1799,1480,5465
Solapur,2017,918,2233,1047,4198
Chennai,2018,2856,2437,1303,6596
Pune,2019,800,3624,1228,5652
Meerut,2018,799,1810,339,2948
Indore,2018,1249,4041,1072,6362
Varanasi,2018,1201,4976,1035,7212
Srinagar,2018,1719,3836,591,6146
Bhopal,2019,2185,2709,1570,6464
Solapur,2019,1366,2349,861,4576
Jaipur,2018,2081,2247,930,5258
Jaipur,2017,514,3263,987,4764
Vadodara,2017,2957,1690,766,5413
Kota,2018,1277,2413,1138,4828
Nagpur,2019,2638,3004,1543,7185
Rajkot,2017,1539,3903,767,6209
Kalyan,2019,1644,4219,1692,7555
Agra,2017,2590,4319,390,7299
Kota,2018,2774,924,697,4395
Kalyan,2017,1931,2554,1715,6200
Mumbai,2019,2988,4125,1475,8588
Faridabad,2019,824,1285,1545,3654
Visakhapatnam,2018,1557,2860,1089,5506
Indore,2018,2946,3798,1049,7793
Vijayawada,2017,1253,4922,1730,7905
Navi Mumbai,2017,1039,2023,768,3830
Patna,2017,1672,2610,1012,5294
Patna,2017,1746,3341,765,5852
Aurangabad,2018,903,2071,938,3912
Howrah,2017,1173,1801,407,3381
Faridabad,2018,2500,3232,1485,7217
Kanpur,2019,1474,3763,1960,7197
Jodhpur,2017,1148,1564,773,3485
Jabalpur,2018,2022,2428,1409,5859
Ludhiana,2019,596,4421,525,5542
Raipur,2018,2434,1952,588,4974
Guwahati,2017,2286,1667,642,4595
Indore,2018,609,4246,1247,6102
Kolkata,2019,885,3059,1387,5331
Delhi,2018,1989,4948,429,7366
Kota,2018,1530,1136,1900,4566
Faridabad,2019,1724,3017,332,5073
Hubli,2019,2039,1427,1167,4633
Delhi,2017,1991,1047,1221,4259
Vasai,2017,2901,3780,1165,7846
Bhopal,2019,522,3390,547,4459
Kanpur,2017,759,3233,1819,5811
Kolkata,2018,1594,3157,1822,6573
Vadodara,2018,1904,2209,1187,5300
Jabalpur,2019,1856,2662,1812,6330
Ghaziabad,2018,1338,2585,1106,5029
Thane,2017,1641,3487,1130,6258
Aurangabad,2019,1547,2699,1159,5405
Chennai,2017,1556,1797,1788,5141
Visakhapatnam,2017,1107,2468,719,4294
Nagpur,2017,1331,2736,1950,6017
Bangalore,2018,2314,2791,988,6093
Nagpur,2018,1983,1635,1017,4635
Solapur,2019,1959,2786,529,5274
Vasai,2017,796,1471,856,3123
Ludhiana,2017,1474,3848,999,6321
Visakhapatnam,2019,993,4117,1441,6551
Chennai,2017,2276,2418,1445,6139
Srinagar,2019,1636,4594,836,7066
Rajkot,2018,2297,4514,776,7587
Nashik,2018,754,2002,1309,4065
Howrah,2017,2415,2607,1190,6212
Chennai,2018,1527,3610,946,6083
Jaipur,2017,2467,1247,1853,5567
Howrah,2017,2970,3665,545,7180
Bangalore,2019,637,1804,1409,3850
Mumbai,2019,1993,3441,1730,7164
Ahmedabad,2018,509,1359,1837,3705
Nashik,2017,2724,2100,1822,6646
Allahabad,2018,618,2302,1701,4621
Allahabad,2019,2971,4453,1191,8615
Jaipur,2018,1543,1006,930,3479
Ghaziabad,2017,1364,2105,338,3807
Amritsar,2018,2758,4185,477,7420
Aurangabad,2018,1112,3228,1538,5878
Vasai,2017,1067,2617,1372,5056
Bangalore,2018,2128,1956,1494,5578
Vasai,2019,2688,3122,976,6786
Agra,2017,2436,3351,904,6691
Lucknow,2019,2359,3043,1134,6536
Varanasi,2017,2076,1222,1167,4465
Rajkot,2019,2138,2583,1655,6376
Aurangabad,2018,2103,4042,1837,7982
Bhopal,2017,1846,1609,1438,4893
Nashik,2017,2524,2194,1377,6095
Patna,2018,1928,822,688,3438
Meerut,2019,1853,2717,1129,5699
Ghaziabad,2019,2524,2422,675,5621
Gwalior,2017,2600,4052,1417,8069
Raipur,2018,1688,896,773,3357
Madurai,2019,1644,4807,320,6771
Aurangabad,2019,2474,4134,369,6977
Agra,2018,2217,3058,1230,6505
Chennai,2017,1007,3164,1733,5904
Jabalpur,2019,2013,1560,1580,5153
Faridabad,2019,814,4264,586,5664
Srinagar,2018,1296,3716,539,5551
Ahmedabad,2019,2581,1829,1014,5424
Gwalior,2017,2754,3601,1199,7554
Vijayawada,2019,511,2740,1801,5052
Faridabad,2017,2634,3287,562,6483
Guwahati,2019,1048,4174,753,5975
Madurai,2018,2052,4793,596,7441
Madurai,2019,2433,3520,359,6312
Nashik,2018,1610,3854,1940,7404
Jaipur,2017,573,3374,644,4591
Lucknow,2017,2859,4890,330,8079
Nashik,2019,1116,4721,1669,7506
Hubli,2017,1111,1295,422,2828
Lucknow,2018,1207,944,1012,3163
Vasai,2017,507,4305,1282,6094
Kota,2018,2717,1884,1019,5620
Jodhpur,2017,2691,1054,424,4169
Madurai,2017,1924,2885,875,5684
Varanasi,2019,2494,2933,1941,7368
Vadodara,2017,2901,3574,1315,7790
Varanasi,2017,2412,4871,1117,8400
Thane,2019,2515,3760,729,7004
Aurangabad,2018,2074,4072,945,7091
Faridabad,2018,2924,4533,1057,8514
Navi Mumbai,2018,2607,4390,433,7430
Vasai,2018,2627,3360,823,6810
